companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Adstify Search Pte Ltd,NA,Software Engineer,Singapore,"Develop and deploy software systems that iteratively deliver business value across both back-end and front-end Derive and implement non-functional requirements based on interactions with the product and business elements Establish best practices for developing processes, technologies, coding practices and architectures Maintain a DevOps culture and an Agile product development mindset in the technical team Write and maintain unit tests to ensure robustness of the product Debug and fix code based on customer incident reports and on errors found through internal testing Assist in maintaining software infrastructure and ensure optimal availability of products / services Assist in maintaining and upgrading the software architecture as new services are added to ensure ease of long-term development 2-6 years of experience in frontend and backend programming development Experienced in using an Agile methodology / operating with a DevOps culture Strong analytical mindset, attention to details, and critical thinking; entrepreneurial and solution-oriented Strong team player with good communication and leadership skills Experience in software architecture design and software infrastructure is a plus Experience with high scalability SaaS systems built with microservices is a plus Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a3bf8f63&cb=1658515053075&jobListingId=1007981908793&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-5b470ba1d621e2bb-
Cynopsis Solutions Pte Ltd,NA,Software Engineer,Singapore,"To design, develop, test and deploy a suite of dynamic cloud-based RegTech solutions. Responsible for team project implementation and delivery using Agile methodology with exposure to full cycle scrum product development. Responsible for team provisioning of BAU maintenance, optimisation and enhancements based on product development needs and any client feedback. Possess hands-on programming, and solution architecture design skills with demonstrated willingness and capability to on-board new technologies quickly. Believe in good programming habits. Work with the team in writing elegant code, perform code review, and suggest changes to tools, policies and processes. Work closely with QAs to ensure quality delivery that meets key metrics. Work closely with DevOps to build frameworks and tools pipeline, define standards (e.g. REST API), improve overall efficiency of the development (e.g. CI/CD toolchain), hygiene of the code repository (e.g. GitHub), and manage the change & release process of deployments, upgrades and migrations. Preferably 2 to 3 years of professional software development experience with several full AGILE implementations. Less experienced and/or fresh graduates with a flair and passion in backend software engineering will be considered for the junior role. Good knowledge of software engineering and best practices including coding standards, code reviews, source control management, build processes, testing, and operations for scalable, multi-tenancy and high-volume solutions. High proficiency with using Java, Python, Django, Node.js, and comfortable with bash scripts on Linux-based systems, and using AWS (EC2, CloudFormation, CloudWatch, RDS, ECS etc.) is necessary. Extensive experience with Docker, container management, SQL databases and REST API service integration. Good understanding of OWASP security practices is a plus. An ability to perform in a fast-paced, multi-time zone environment. Additional leave Dental insurance Health insurance Professional development Promotion to permanent employee Monday to Friday Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_583b13c1&cb=1658515053075&jobListingId=1008007451330&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-e456afb4f3f5ec02-
Pixium Digital Pte Ltd,5.0,Software Engineer,Singapore,"Build simple solutions that are efficient for the end user Be a valuable player in a team of IT professionals. We are looking for individuals who understand the importance of listening first before speaking (If you ever wondered why we have two ears and only one mouth, this is your clue) Own the client’s vision. Victory is only achieved if the solution fits the needs of the client and the end users are happy using it. Strive to meet project deadlines while reacting to last minute changes. Abide by our software development guidelines. Ideally you should already be practising them. We’ll be asking you about them in the job interview. Be motivated! if you need us to motivate you, please do not apply for this job as you won’t fit into our culture Be a problem solver, own the solution and be able to debate it with the team Have a degree in computer science, computer engineering, or related field. You should minimally possess a sound comprehension of basic algorithmics Understand what a web application is and how it works: responsiveness should translate to CSS in your mind. Understand relational databases and the beauty of joints. have developed mobile applications or might even have refactored one using Flutter have a flair for UX/UI considerations have experience with testing can survive scripting with a terminal connected via ssh to a unix-flavoured server have an opinion on OOP vs. Functional Programming Adept at using Javascript, Php, HTML/CSS and at least one CMS or framework (Wordpress, Symphony, Yii2, React, Vue.js) Demonstrate some level of python or bash scripting skills Have experience with AWS Cloud deployment and tools Be part of a Great Team Many opportunities to learn and improve oneself Workplace Flexibility Performance Bonus 20 Days Annual Leave Negotiable salary based on experience Monday to Friday Performance bonus Bachelor's or equivalent (Required) Software engineering: 2 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1e9a0053&cb=1658515053075&jobListingId=1008015784674&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-7ece3cd8f23c46bc-
Unravel Carbon Pte Ltd,NA,Backend Software Engineer,Singapore,"Building backend server applications using Flask/DJango framework Use tools like ElasticSearch to solve performance problems related to big data queries Perform data analysis and calculations on climate and carbon emissions data Research into NLP applied to interpret climate and carbon emissions data Research into machine learning applied to climate and carbon emissions data Willingness to learn, be a self-starter, and thrive in uncertainty; you would be one of the first employees at an early stage startup, be prepared to venture into unknown territory, collaborate and learn Meticulous and detail-oriented Required skills: Python Backend Development Frameworks (Flask, Django). Backend development in other languages/frameworks can be considered too NoSQL databases (DynamoDB, MongoDB) Running/managing Linux servers on Cloud services (AWS/GCS/Azure) Optional skills: Front End Web development (ReactJS, Vue) Python data science tools (Pandas, Numpy, Scipy) Python NLP tools Container management tools (Docker) Container orchestration tools (Kubernetes) SQL databases (MySQL) An understanding of agile product development Self exploration and self learning of the latest technologies and applying them to solving the technical challenges our team face Self -starter (proactive and independent) with an ability to prioritize different assignments and tasks to meet deadlines Comfortable working in a collaborative environment Eager to think outside of the box and creatively problem-solve Monday to Friday IT: 3 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c099ec6c&cb=1658515053077&jobListingId=1008013558957&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-427962253a220f74-
Shopee,3.8,Frontend Software Engineer - Data Engineering,Singapore,"
Design, architect and implement a big data computing platform for efficient data exploration and processing, etc. Focus on the user experience and continuously improve the ease of use of the product. 
Build visualised data products that will help our business team, senior executives, sellers gain deep insight into their business and make decisions, explore the beauty of data visualisation. 
Participate in designing and implementing data tracking system, building tracking libraries for Shopee products including PC web and mobile web 
Minimum B.S. degree in Computer Science or a related technical field 
2~10+ years of working experience in frontend development 
Strong knowledge in JavaScript and CSS fundamentals 
Good sense in user experience 
Well versed in various browser technologies 
Hands-on experience in at least one frontend framework, understanding how it works 
Love technologies and embrace changes 
Enjoy teamwork 
Experience in data visualisation preferred 
Experience in event tracking and web analytics preferred",https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&cs=1_3bddf5fb&cb=1658515053075&jobListingId=1008019115140&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-d9f13e89d4649e9c-
GETS ASIA PTE. LTD.,4.0,Software Test Engineer,Queenstown Estate,"Verification & Validation Analyse business and system requirements and develop various test specifications which includes Functional Testing, System Integration Testing, and assist in User Acceptance Testing. Design, execute and maintain test scripts and test artefacts. Report and document bugs/defects Perform defect management and test management for assigned projects. Perform the collection, collation, analysis of statistics related to testing, compile and share lessons learned. Work with cross-functional teams to ensure quality throughout the software development lifecycle Testing Domain Expertise Continuously innovate and improve quality of test processes. Write and Update documents or knowledge based and impart knowledge. Any other duties and responsibilities as and when assigned Bachelor’s degree in Computer Science or equivalent And holder of ISTQB or ISEB or CSTE certification(s) will be an added advantage. Knowledge on test automation tools such as Selenium Webdriver/Grid and/or Unified Functional Testing (HP UFT) is an advantage. Experience in Agile Testing Environments is a plus. Minimum 3 years' experience in software development (including hands-on programming) with at least 1-2 years in Software Testing and be able to work well independently and in a team. Good knowledge and hands-on experience in commonly used tools such as Microsoft Azure DevOps, Atlassian JIRA, HP Quality Centre (HPQC) and other ALM. Ability to work independently and possesses strong interpersonal and communications skills (spoken and written), enjoy working with people and helping project team to resolve problems and able to manage conflicts and priorities. A team player with positive attitudes to learn, share and ability to stay focused when challenges arise. Possesses good attention to detail Ability to think out of the box and provide creative solutions Strong sense of responsibility and urgency; resourceful, strong problem-solving skills and able to work under pressure. Employee discount Health insurance Parental leave Professional development Work from home Monday to Friday 13th month salary Performance bonus Yearly bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5be3fb05&cb=1658515053076&jobListingId=1007750966156&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-117261c72a5e43fc-
WSH EXPERTS PTE LTD,2.3,Software Engineer,Singapore,"Maintain and enhance IT applications which includes implementing new enhancements to the applications, troubleshoot live issues to identify causes of the problems and providing workable solution to fix the issues. Design and develop new IT application according to specifications provided. Perform iterative prototyping to introduce and enhance new features to the core system. Perform design, programming, integration, system testing, assist users in User Acceptance Test (UAT), and documentation. Generate unit tests and end-to-end test scripts to ensure nothing breaks upon deploying new features and maintain current automated scripts in Jenkins. Troubleshoot, identify, solve issues and develop automated test cases to prevent similar issues Must have at least 3 years of good working knowledge in the following areas: Web Application Client-side Technologies (e.g. JavaScript ES5/6, ReactJS, React Hooks, Redux, jQuery, HTML5/CSS, AJAX/JSON, NPM); Web Application Server-side Technologies (e.g. Asp.NET Core, Asp.NET MVC, C#); Web GIS Technologies (e.g. ArcGIS JavaScript API, ArcGIS Server REST API, GeoServer, PostGIS); Database technologies (e.g. Postgresql, MS SQL, Oracle); and Code version control system (Git). Must have good communication skills and the ability to: Understand and communicate in English, in speech and writing. Work with other members in a dynamic and fast-moving team. Work independently with minimum supervision. Work on own initiative and adhere to deadlines. Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dcf4bbc5&cb=1658515053079&jobListingId=1007994102463&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-6ab91ef72c68d1e6-
A2000 Solutions Pte Ltd,3.5,Software Engineer,Singapore,"Design, develop and deploy business software applications (ASP.NET/C#) Systems analysis and integration of multi-solutions with our ERP suite Developing systems; complying with specifications and quality Develop, optimize and enhance in-house ERP system Degree in Computer-related field and/or 4 years equivalent work experience Experience in software application design and development Good knowledge in ERP/Business applications will be advantageous Good knowledge in architecture and system designs Good object-oriented system design skills; knowledge in UML tool Good presentation/communication skills in English Strong customer service orientation with attention to details",https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&cs=1_d043fa10&cb=1658515053075&jobListingId=1008022765447&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-38c85627d51fd8ec-
Glints Singapore Pte Ltd,NA,Software Quality Engineer (MA),Singapore,"Work closely with the Lead/Senior QA Engineer and the Development team to design, develop and execute Functional/Performance/Security test cases and scripts for the in-house developed video analytics products Assist Product Manager to craft out user story acceptance criteria Develop and maintain manual and automation test plans for both Video Analytics models and Software Applications. This includes the monitoring and reporting of the models’ performance, functional correctness of the solution/application, tracking bug reports and resolution Work closely with DevOps team to ensure best practices are followed and provide solutions to improve existing infrastructure processes Evaluate new technologies and application testing-related tools, and provide recommendations on tools/processes that will enhance application functionality, performance and security capabilities Ensure good quality release as the products and solution are put into operation Learn and share knowledge in a multi-disciplinary team. Degree or Diploma in Computer Science, Computer or Electronics Engineering, Information Technology or related disciplines with min 3 years of practical QA experience Analytical and meticulous Good interpersonal skills and able to work as a team Good presentation and listening skills Hands-on experience test automation tools and frameworks such as Selenium, PyTest, JMeter etc. Good practical knowledge of Python, Java, JavaScript or other programming languages in Windows or Linux environment Experience in agile development environment Experience with continuous integration and continuous delivery, using Atlassian Bamboo or other similar tools will be an added advantage Certified Software Testing Professional and/or Certified Software Quality Analyst will be an added advantage Monday to Friday Quality assurance: 3 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d836cffd&cb=1658515053078&jobListingId=1008018869107&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-868d605008f757ee-
"JPMorgan Chase Bank, N.A.",3.7,"Software Engineer, Associate",Singapore,"You'll be developing cloud native products to be used by engineers across the firm.
 You'll be developing products that help test and measure the resiliency and availability of products and services.
 You'll be developing products that help solve the problems associated with micro services orchestration.
 You'll be part of a small and highly focused product team which is responsible for developing and running the product end to end.
 You'll contribute in making architecture decisions and make suggestions to improve the current architecture of the product.
 BS/BA degree or equivalent
 Minimum 6 years of experience required
 Passionate about new technologies and building a culture of innovation, continuous learning and improvement.
 Proficiency in one or more modern programming languages. Java, python or Go is preferred.
 Exposure to building frameworks and tooling for large scale engineering operations, resiliency patterns like circuit breakers, bulkheads, backpressure, etc.
 Exposure to authentication and authorization protocols and solutions.
 Experience developing cloud native applications on platforms like CloudFoundry, Kubernetes, Heroku, AWS, GCP, Azure, etc.
 Exposure to effective operational patterns like SLOs, metrics, health checks, error budgets, distributed tracing, etc.
",https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&cs=1_4759a8e4&cb=1658515053076&jobListingId=1008018745386&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-9f5da7762401205d-
"JPMorgan Chase Bank, N.A.",3.7,Software Engineer- Analyst,Singapore,"Bachelor's degree in Engineering, Computer Science or related disciplines. Minimum 1 year of software engineering experience, preferably within the Financial Services sector Enthusiastic, self-motivated, strong interest in learning, resilient Strong analytical and problem solving skills, bring innovative and new ideas to the table Comfortable multi-tasking with minimal supervision
 Ability to work in large, collaborative teams across geographical boundaries to achieve organizational goals Eagerness to take accountability/ownership of work, have real business impact, collaborate with a global community of developers sharing the technology and code base. Proficiency in one or more modern programming languages and willingness to pick up skill on new and legacy technology Understanding of Foreign exchange & Fixed Income products will be considered favorably",https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&cs=1_5db8a6d7&cb=1658515053074&jobListingId=1008013614982&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-45f7cd136102f7cc-
Zoom,NA,Video Codec Software Engineer,Singapore,"Research and evaluate algorithms currently used in related applications. 
Possess strong skills in the areas of development and real-time implementation of video encoder/decoder. 
Participate in research and developing new video codec standard 
Design and implement video compression algorithm to improve the quality 
Design new algorithms to tackle new and existing problems. Master’s degree in Computer Science or Electrical Engineering or related field. 
Prior industry experience is preferred but not required. 
Proficient in C++ and C programming 
Prior experience of x86/64 or arm assembly coding. 
Solid research background in video codec. 
Experienced in video coding standards such as VVC, AV1, HEVC, H.264/AVC, SVC, VPx. 
Strong analytical and research skills. 
Excellent written and verbal communication skills. Strong team player. 
Hear from our leadership team 
Browse Awards and Employee Reviews on Comparably 
Visit our Blog 
Zoom with us! 
Find us on social at the links below and on Instagram 
View more jobs, sign up for job alerts and join our talent community. Visit the Zoom careers site.",https://www.glassdoor.com/partner/jobListing.htm?pos=323&ao=1136043&s=58&guid=000001822733587aa34e3013bfcc5784&src=GD_JOB_AD&t=SR&vt=w&cs=1_d7fab4f6&cb=1658515053079&jobListingId=1008016758889&jrtk=3-0-1g8jj6m5sitnv801-1g8jj6m6o28d1000-6a945a5dbc2b17ff-
